"Length of state and municipal roads and streets in regions, State cities and municipalities at the end of year (km) by Territorial unit, Indicator and Time period"

"Territorial unit","Indicator","2024"
"Aizkraukle municipality","Total",1657
"Alūksne municipality","Total",1187
"Augšdaugava municipality","Total",2817
"Ādaži municipality","Total",398
"Balvi municipality","Total",1597
"Bauska municipality","Total",2014
"Cēsis municipality","Total",2670
"Dienvidkurzeme municipality","Total",3078
"Dobele municipality","Total",1529
"Gulbene municipality","Total",1380
"Jelgava municipality","Total",1552
"Jēkabpils municipality","Total",2401
"Krāslava municipality","Total",2183
"Kuldīga municipality","Total",1973
"Ķekava municipality","Total",514
"Limbaži municipality","Total",2272
"Līvāni municipality","Total",446
"Ludza municipality","Total",2160
"Madona municipality","Total",2464
"Mārupe municipality","Total",413
"Ogre municipality","Total",2039
"Olaine municipality","Total",201
"Preiļi municipality","Total",1385
"Rēzekne municipality","Total",2651
"Ropaži municipality","Total",613
"Salaspils municipality","Total",180
"Saldus municipality","Total",1603
"Saulkrasti municipality","Total",386
"Sigulda municipality","Total",1072
"Smiltene municipality","Total",1371
"Talsi municipality","Total",2148
"Tukums municipality","Total",2175
"Valka municipality","Total",492
"Valmiera municipality","Total",2075
"Varakļāni municipality","Total",234
"Ventspils municipality","Total",1455
